Sign Name,Unicode code point
U/BÙR, 𒌋
"Ugunû, BÙR-gunû", 𒐴
UGU (U.KA), 𒌋 &  𒅗
U.ITI,
UDUN (U.MU), 𒌋 &  𒈬
ŠIBIR (U.BURU14), 𒌋 &  𒂘
GÀKKUL (U.DIM), 𒌋 &  𒁴
"GAKKUL (U.DIM×ŠE), later U.DIM×KUR", 𒌋 &  𒁵
U.GUR, 𒌋 &  𒄥
U.DAR (AŠDAR), 𒌋 &  𒁯
SAGŠU (U.SAG), 𒌋 &  𒊕
ÁB, 𒀖
ÁB×KÍD, 𒀛
ÁB×KÁR, 𒀘
GIRI16 (GÌR×KÁR), 𒄌
LILIZ (ÁB×BALAG), 𒀗
LIBIŠ (ÁB×ŠÀ), 𒀚
KIŠ, 𒆧
MEZE (ÁB× ME.EN), 𒀙
ÁB×A, 𒍱
MI, 𒈪
GUL (SÚN), 𒄢
GIR4 (U.AD), 𒌋 &  𒀜
ŠAGAN (U.GAN/ŠU4.GAN), 𒌋 &  𒃶
PAN, 𒉼
GIM (DÍM), 𒁶
KISIM5, 𒆨
KISIM5 variant,
Gingira (KISIM5overKISIM5), 𒆩
DÚBUR (ḪI×U), 𒄶
NÁ, 𒈿
NIM, 𒉏
TÙM (NIM×KÁR), 𒉐
KIR7 (NIM× NÍG.KÁR), 𒉑
LAM, 𒇴
LAM×KUR, 𒇵
AMAR (ZUR), 𒀫
SISKUR (AMAR×ŠE), 𒀬
AMAR×KUG,
UL (DU7), 𒌌
ŠITA4 (U.KID), 𒌋 &  𒆤
ÚTU (U.GA/ŠU4.GA), 𒌋 &  𒂵
GÌR, 𒄊
PIRIG, 𒊊
GÌR.GÌRinversum, 𒊎
LULIM (GÌR× LU.IGI), 𒄎
ALIM (GÌR× A.IGI), 𒄋
ALIM (GÌR×IGI), 𒄍
DUGUD, 𒂂
GIG (MI.NUNUZ), 𒈪 &  𒉭
NIGIN4 (U.UD), 𒌋 &  𒌓
NÌGIN (U.UD.KID), 𒌋 &  𒌓 &  𒆤
MAN (2×U), 𒎙
U.U-gunû, 𒌋 &  𒐴
KUŠU (U.GÌR/PIRIG), 𒌋 &  𒄊 /  𒊊
EŠ (3×U), 𒌍
NIMIN (4×U), 𒐏
MAŠGI/BARGI (4×U), 𒌐
NINNU (5×U), 𒐐
LX (6×U), 𒐑
7×U, 𒐒
8×U, 𒐓
9×U, 𒐔
LAGAR, 𒇬
DUL (U.TÚG), 𒌋 &  𒌆
DU6 (LAGAR-gunû), 𒇯
DU6overDU6.ŠE, 𒇰
SU7 (LAGAR×ŠE), 𒇭
LAGAR× ŠE.SUM, 𒇮
"IGI (ŠI, LIM)", 𒅆
DIMSAR, 𒅉
PÀD (IGI.RU), 𒅆 &  𒊒
AR (IGI.RI), 𒅈
AGRIG (IGI.DUB), 𒅆 &  𒁾
U6 (IGI.É), 𒅆 &  𒂍
SIG5 (IGI.ERIM), 𒅆 &  𒂟
KURUM7 (IGI.ERIM), 𒅆 &  𒂟
Ù (IGI.DIB), 𒅇
LIBIR (IGI.ŠÈ), 𒅆 &  𒂠
ḪUL (IGI.UR), 𒅆 &  𒌨
ḪUL4 (IGI.UR-šeššig), 𒅆 &  𒌪
KURUM7 (IGI.NÍG), 𒅆 &  𒃻
DI, 𒁲
KI, 𒆠
KI×BAD, 𒆡
KI×UD, 𒆣
KI×U, 𒆢
PÉŠ, 𒉾
KIMIN,
KIŠI4, 𒊔
ŠUL (DUN), 𒂄
KUG (KÙ), 𒆬
PAD (ŠUK), 𒉻
XV (U.IÁ), 𒌋 & 
